Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
Sopris Capital Associates,https://www.crunchbase.com/organization/sopris-capital,27,12,"New York, New York, United States",Sopris Capital is a venture capital investment firm focused on providing growth capital to exceptional technology-enabled service and healthcare businesses.,"Sopris Capital Associates, a U.S.-based investment firm, offers growth capital to healthcare and technology-enabled B2B service businesses.",,Active,,,1/1/2002,year,,Venture Capital,Early Stage Venture,"B2B, Health Care, Real Estate, Venture Capital",,1/1/2000,1,,,,Venture - Series Unknown,,,,,,,,,12,27,"10,116",0.2
The Innovation Factory,https://www.crunchbase.com/organization/the-innovation-factory-2,,,"Duluth, Georgia, United States","The Innovation Factory acquires novel medical technology ideas from individual inventors, corporations and universities, develops ideas comprehensively – from proof of concept to FDA approval – into marketable products, and then launches businesses around those products. They manage the complex path to market for early-stage medical device companies. With Their deeply experienced management team and top-tier funding partners, They have assembled the intellectual, scientific, operational and financial resources needed to take a great idea from paper to production. Their nimble approach to both product and business development allows us to vet ideas properly and efficiently, maximizing predictability and speeding time-to-market while reducing risk for everyone involved. The Innovation Factory welcomes medical-related ideas and referrals from a variety of sources, and They promise confidentiality and timely response to all inquiries. For more information, please select the appropriate perspective: Inventor, University or Corporation.",The Innovation Factory is a venture capital firm.,,Active,,,1/1/1999,year,,Venture Capital,,"Incubators, Medical, Venture Capital",Seed,11/30/1999,1,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,2,,,,"41,499",2.2
Kainos,https://www.crunchbase.com/organization/kainos-software,1,,"Belfast, Belfast, United Kingdom","Kainos Software Limited is a privately held software company headquartered in Belfast, Northern Ireland that develops information technology solutions for businesses and organisations particularly in the public, healthcare and financial services sectors. The company also provides consulting and support services. Kainos has offices in the UK, Ireland, Poland and the U.S., and provides services to its customers across Europe, the Middle East, Africa and North America. Kainos is one of Workday’s main implementation partners for the Workday SaaS product, and have developed Kainos Smart, an automated testing tool for Workday implementations. In the UK, Kainos provide an electronic medical record product for the digitisation of patient notes in the NHS called Evolve. The company also has a long-standing partnership with Autonomy delivering projects to organisations in Europe and Africa. Kainos has been a Microsoft Gold Certified Partner for more than 10 years, and was one of Microsoft's first Gold partners. Today, Kainos is one of Northern Ireland's largest high-tech companies, and one of the top companies in the UK and Ireland.","Kainos provide digital technology solutions that enable companies to work smarter, faster, better.",,Active,7/17/2015,day,4/14/1986,day,,,,"Consulting, Financial Services, FinTech, Health Care, Information Technology, Software",IPO,4/14/1986,1,,,,Venture - Series Unknown,,,,,,,1,,,1,"8,113",0.9
Norwest Venture Partners,https://www.crunchbase.com/organization/norwest-venture-partners,635,132,"Palo Alto, California, United States","Norwest is a premier multi-stage investment firm managing more than $7.5 billion in capital. Since our inception, we have invested in more than 600 companies and partner with over 140 active companies across our venture and growth equity portfolio. The firm invests in early to late stage companies across a wide range of sectors with a focus on consumer, enterprise, and healthcare. We offer a deep network of connections, operating experience, and a wide range of impactful services to help CEOs and founders scale their businesses. Norwest has offices in Palo Alto and San Francisco, with subsidiaries in India and Israel.",Norwest is a global venture capital and growth equity investment firm that manages more than $7.5B in capital.,,Active,,,4/1/1961,day,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity","B2B, Consumer, Finance, Financial Services, Health Care, Venture Capital",,,,,,,,,,,,,,,Made Acquisitions,132,316,111,2.3
National Science Foundation,https://www.crunchbase.com/organization/national-science-foundation,289,14,"Alexandria, Virginia, United States","America’s Seed Fund powered by NSF awards nearly $200 million annually to startups and small businesses, transforming scientific discovery into products and services with commercial and societal impact. Startups working across almost all areas of science and technology can receive up to $1.5 million in non-dilutive funds to support research and development (R&D), helping de-risk technology for commercial success. America’s Seed Fund is congressionally mandated through the Small Business Innovation Research (SBIR) program. The NSF is an independent federal agency with a budget of about $7.8 billion that supports fundamental research and education across all fields of science and engineering.",America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,,Active,,,5/10/1950,day,,"Entrepreneurship Program, Government Office","Grant, Seed","Advanced Materials, Biotechnology, Chemical Engineering, EdTech, Environmental Engineering, Government, Information Technology, Internet of Things, Manufacturing, Medical Device, Nanotechnology, Robotics, Semiconductor, Wireless",,,,,,,,,,,,,,,,14,219,183,3.3
Venrock,https://www.crunchbase.com/organization/venrock,610,162,"Palo Alto, California, United States","Originally established as the venture capital arm of the Rockefeller family in 1969, Venrock continues a tradition of partnering with entrepreneurs to establish successful, enduring companies. With a primary focus on technology and healthcare, portfolio companies have included Apple Computer, Athenahealth, Centocor, Check Point Software, DoubleClick, Endeca, Gilead Sciences, Idec Pharma, Imperva, Illumina, Intel, Nest, SlideShare and Tudou.",Venrock is a venture capital firm investing in technology and healthcare companies.,,Active,,,1/1/1969,year,,Venture Capital,"Early Stage Venture, Late Stage Venture","Advertising, Biotechnology, FinTech, Hardware, Health Care, Medical Device, Mobile, Pharmaceutical, Security",,,,,,,,,,,,,,,,162,294,421,9.3
Felicis Ventures,https://www.crunchbase.com/organization/felicis-ventures,407,110,"Menlo Park, California, United States","Felicis Ventures is a boutique venture capital firm based in Menlo Park. Felicis invests in iconic companies reinventing core markets (Credit Karma, Adyen, Greenhouse), as well as those creating frontier technologies (Vicarious, Matterport, Pindrop Security). More than 60 Felicis portfolio companies have been acquired or gone public, including Rovio (IPO), Fitbit (IPO), Shopify (IPO), Meraki (acquired by Cisco), Twitch (acquired by Amazon), and Dropcam (acquired by Google). To learn more, please visit www.felicis.com.",Felicis Ventures is a boutique VC firm that backs iconic companies reinventing existing markets and creating frontier technologies.,,Active,,,10/1/2006,day,,Venture Capital,"Early Stage Venture, Seed","Artificial Intelligence, Cyber Security, Enterprise Software, Finance, Financial Services, FinTech, Health Care, Internet of Things, Logistics, Mobile, Robotics, Venture Capital",,,,,,,,,,,,,,,,110,270,428,0
Canaan Partners,https://www.crunchbase.com/organization/canaan-partners,577,117,"Menlo Park, California, United States","Canaan is an early stage venture capital firm that invests in entrepreneurs with visionary ideas. With $5B under management, a diversified fund and over 190 exits to date, Canaan has invested in some of the world's leading technology and healthcare companies over the past 30 years. Canaan’s focus areas include fintech, enterprise/cloud, marketplaces, frontier tech, biopharma, digital health, and medtech.",Canaan is an early-stage venture capital firm that invests in visionaries with transformative ideas.,,Active,,,1/1/1987,year,,Venture Capital,"Early Stage Venture, Late Stage Venture","Biopharma, Enterprise Applications, FinTech, Health Care, Marketplace, Medical Device, Venture Capital",,,,,,,,,,,,,,,,117,293,434,8.1
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,905,196,"Redwood City, California, United States","[Bessemer Venture Partners](https://www.bvp.com/) (BVP) is a $4B venture capital firm that funds consumer, enterprise and healthcare startups around the world, from seed stage to growth. BVP funded the early stages of [Pinterest](https://www.pinterest.com), [Blue Apron](http://www.blueapron.com/), [Skype](http://www.skype.com), [Skybox Imaging](https://terrabella.google.com/), [Twitch](http://www.twitch.tv) and [Periscope](https://www.periscope.tv/) and helped build 117 IPOs including [Twilio](https://www.twilio.com), [Yelp](http://www.yelp.com), [LinkedIn](http://www.linkedin.com), [Shopify](https://www.shopify.com) and [Wix](https://www.wix.com).",Bessemer Venture Partners manages more than $4 billion of venture capital invested in over 130 companies around the world.,,Active,,,1/1/1911,year,,Venture Capital,"Early Stage Venture, Late Stage Venture","Consumer, E-Commerce, Enterprise Software, FinTech, Health Care, Marketplace, Mobile, SaaS, Security",,,,,,,,,,,,,,,Made Acquisitions,196,477,460,8.7
Johnson & Johnson,https://www.crunchbase.com/organization/johnson-johnson,16,4,"New Brunswick, New Jersey, United States","Johnson & Johnson engages in the research and development, manufacture, and sale of a range of products in the healthcare field.  The company operates through three business segments, including Consumer; Pharmaceutical and Medical Devices; and Diagnostics.  The Consumer segment includes a range of products used in the baby care, skin care, oral care, wound care and women's health care fields, as well as nutritional and over-the-counter pharmaceutical products. The Baby Care franchise includes the JOHNSON'S Baby line of products. Major brands in the Skin Care franchise include the AVEENO; CLEAN & CLEAR; JOHNSON'S Adult; NEUTROGENA; RoC; LUBRIDERM; Beijing Dabao Cosmetics Co., Ltd.; and Vendome product lines. The Oral Care franchise includes the LISTERINE and REACH oral care lines of products. Major brands in the Women's Health franchise are the CAREFREE Pantiliners and STAYFREE sanitary protection products. The nutritional and over-the-counter lines include SPLENDA, No Calorie Sweetener; the family of TYLENOL acetaminophen products; SUDAFED cold, flu and allergy products; ZYRTEC allergy products; MOTRIN IB ibuprofen products; and PEPCID AC Acid Controller from Johnson & Johnson Merck Consumer Pharmaceuticals Co. These products are marketed principally to the general public and sold both to wholesalers and directly to independent and chain retail outlets throughout the world.  Pharmaceutical The Pharmaceutical segment includes products in the following therapeutic areas: anti-infective, antipsychotic, cardiovascular, contraceptive, dermatology, gastrointestinal, hematology, immunology, neurology, oncology, pain management, urology and virology. These products are distributed directly to retailers, wholesalers and health care professionals for prescription use by the general public. Key products in the Pharmaceutical segment include: REMICADE (infliximab), a biologic approved for the treatment of Crohn's disease, ankylosing spondylitis, psoriasis, psoriatic arthritis, ulcerative colitis, and use in the treatment of rheumatoid arthritis; TOPAMAX (topiramate), approved for adjunctive and monotherapy use in epilepsy, as well as for the prophylactic treatment of migraines; PROCRIT (Epoetin alfa, sold outside the U.S. as EPREX), a biotechnology-derived product that stimulates red blood cell production; RISPERDAL oral (risperidone), a medication that treats the symptoms of schizophrenia, bipolar mania and irritability associated with autistic behavior in indicated patients, RISPERDAL CONSTA (risperidone), a long-acting injectable, and INVEGA (paliperdone) Extended-Release tablets, for the treatment of schizophrenia; LEVAQUIN (levofloxacin) and FLOXIN (ofloxacin), both in the anti-infective field; CONCERTA (methylphenidate HCl), a product for the treatment of attention deficit hyperactivity disorder; ACIPHEX/PARIET, a proton pump inhibitor co-marketed with Eisai Inc.; and DURAGESIC/Fentanyl Transdermal (fentanyl transdermal system, sold outside the U.S. as DUROGESIC), a treatment for chronic pain that offers a novel delivery system.  Medical Devices and Diagnostics The Medical Devices and Diagnostics segment includes a range of products distributed to wholesalers, hospitals and retailers, used principally in the professional fields by physicians, nurses, therapists, hospitals, diagnostic laboratories and clinics. These products include Cordis' circulatory disease management products; DePuy's orthopaedic joint reconstruction, spinal care and sports medicine products; Ethicon's surgical care and women's health products; Ethicon Endo-Surgery's minimally invasive surgical products; LifeScan's blood glucose monitoring and insulin delivery products; Ortho-Clinical Diagnostics' professional diagnostic products and Vistakon's disposable contact lenses.","Johnson & Johnson engages in the research and development, manufacture and sale of a range of products in the healthcare field.",,Active,1/13/1978,day,1886-01-01,year,For Profit,,,"Health Care, Health Diagnostics, Information Technology",IPO,,,,,,,,,,,,,,Made Acquisitions,4,15,461,-1.3
Samsung NEXT,https://www.crunchbase.com/organization/samsungnext,130,16,"Mountain View, California, United States","Samsung NEXT Ventures is the investment arm of Samsung NEXT, a multifaceted innovation group within Samsung Electronics dedicated to identifying new growth opportunities that will define the next decade.",Samsung NEXT invests in transformative early-stage software and services startups.,,Active,,,7/1/2013,day,,Venture Capital,"Early Stage Venture, Seed","Augmented Reality, Health Care, Internet of Things, Machine Learning, Mobile, Payments, TV, Virtual Reality, Wearables",,,,,,,,,,,,,,,Made Acquisitions,16,82,536,9.5
High-Tech Grunderfonds,https://www.crunchbase.com/organization/high-tech-gründerfonds,591,63,"Bonn, Nordrhein-Westfalen, Germany","High-Tech Gründerfonds (HTGF) is a seed investor that finances high-potential, tech-driven startups. With EUR 895.5 million in total investment volume across three funds and an international network of partners, HTGF has already helped forge more than 500 startups since 2005. Driven by their expertise, entrepreneurial spirit and passion, its team of experienced investment managers and startup experts help guide the development of young companies. HTGF’s focus is on high-tech startups in a range of sectors, including software, media, internet, hardware, automation, health care, chemistry and life sciences. To date, external investors have injected over EUR 2 billion into the HTGF portfolio via about 1,400 follow-on financing rounds. HTGF has also successfully sold interests in more than 100 companies. Investors in this public-private partnership include the Federal Ministry For Economic Affairs and Energy, the KfW Banking Group, and Fraunhofer-Gesellschaft e.V., as well as the companies ALTANA, BASF, BAYER, B.Braun, Boehringer Ingelheim, Robert Bosch, BÜFA, CEWE, Deutsche Post DHL, Dräger, Drillisch AG, EVONIK, EWE AG, FOND OF Haniel, Hettich, Knauf, Körber, LANXESS, media + more venture Beteiligungs GmbH & Co. KG, PHOENIX CONTACT, Postbank, QIAGEN, RWE Generation SE, SAP, Schufa, Schwarz Gruppe, STIHL, Thüga, Vector Informatik, WACKER and Wilh. Werhahn KG.","High-Tech Grunderfonds specializes in investments in seed or startups, early venture, seed capital and mezzanine financing.",,Active,,,9/1/2005,day,,Venture Capital,"Early Stage Venture, Seed","Hardware, Health Care, Information and Communications Technology (ICT), Life Science, mHealth, Software, Venture Capital",,,,,,,,,,,,,,,,63,456,599,2.2
F-Prime Capital,https://www.crunchbase.com/organization/f-prime-capital-partners,191,35,"Cambridge, Massachusetts, United States","F-Prime's roots are in one of America’s great entrepreneurial success stories. Fidelity Investments was founded in 1946 and grew from a single mutual fund into one of the largest asset management firms in the world, with over $2 trillion in assets under management. For the last forty years, this venture capital group has had the privilege of backing other great entrepreneurs as they built ground-breaking companies in technology and life sciences, including Atari, MCI, ROLM Corp., Alibaba, Ironwood Pharmaceuticals, and Ultragenyx. Today, F-Prime's funds are larger and more global, but its teams are still small and local. F-Prime stays true to its entrepreneurial roots. In the US and Europe, F-Prime Capital Partners is investing in healthcare (formerly Fidelity Biosciences) and in technology (formerly part of Devonshire Investors). In other geographies, its sister fund is called Eight Roads (formerly Fidelity Growth Partners), with investment teams in London, Shanghai, Beijing, Hong Kong, Tokyo, and Mumbai.  Together F-Prime brings a world of insight, domain expertise and relationships to support entrepreneurs. Without the pressure of fundraising from outside investors, F-Prime Capital Partners focuses all of its time finding and helping great entrepreneurs build important companies.",F-Prime Capital is a global venture capital firm investing in healthcare and technology.,,Active,,,1/1/1946,year,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Biotechnology, Enterprise, Finance, Financial Services, FinTech, Health Care, Pharmaceutical, Venture Capital",,,,,,,,,,,,,,,,35,122,637,9.7
Nex Cubed,https://www.crunchbase.com/organization/nex-cubed,55,,"San Francisco, California, United States","Nex Cubed is a leader in innovation-driven value creation. Their global ecosystem empowers entrepreneurs to bring new technologies to market, helps rising companies scale, and provides paths to liquidity – the ‘power of three’. They provide access to hundreds of founders, mentors, investors, and corporate partners, helping entrepreneurs drive innovation, value, and growth. Over 50% of the startups in their portfolio are led by female and minority founders.",Nex Cubed is a frontier technology focused seed-stage investor and Accelerator.,,Active,,,1/1/2016,year,,"Accelerator, Entrepreneurship Program, Incubator","Early Stage Venture, Seed","Aerospace, Artificial Intelligence, Big Data, Biotechnology, Consulting, Cyber Security, Drones, E-Commerce, Enterprise Software, FinTech, Health Care, Incubators, Information Technology, Internet of Things, Life Science, Machine Learning, Medical, Mobile, Natural Language Processing, Network Security, Online Games, Pharmaceutical, Predictive Analytics, Real Time, Retail Technology, Risk Management, Robotics, SaaS, Security, Software, Telecommunications, Virtual Reality, Wearables, Web Apps",,,,,,,,,,,,,,,,,54,702,9.7
AstraZeneca,https://www.crunchbase.com/organization/astrazeneca,30,6,"Cambridge, Massachusetts, United States","AstraZeneca is global innovation-driven biopharmaceutical company specialising in the discovery, development, manufacturing and marketing of prescription medicines that make a meaningful difference in healthcare. AstraZeneca discovers new medicines that are designed to improve the health and quality of life of patients around the world - medicines which are innovative, effective and which offer added benefits such as reduced side effects or better ways of taking the treatment. They also focus on getting the best from every medicine they make by exploring all the ways it can be used or improved. Their business strategy sets out their path to success in delivering great medicines to patients through innovative science and global excellence in development and commercialisation.","AstraZeneca, a global pharmaceutical company, discovers, develops, manufactures and markets prescription medicines.",,Active,5/21/1993,day,4/6/1999,day,For Profit,,,"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical",IPO,,,,,,,,,,,,,,Made Acquisitions,6,24,706,8.4
Procter & Gamble Company,https://www.crunchbase.com/organization/procter-and-gamble,10,6,"Cincinnati, Ohio, United States","Procter & Gamble Company is an American multinational consumer goods corporation with a mission to provide branded products and services of superior quality and value that improve the lives of the world's consumers. Its brands are trusted in millions of living rooms, kitchens, laundry rooms, and bathrooms—and have been passed down from generation to generation. The company is known for hundreds of consumer brands ranging from baby care, fabric care, feminine care, hair care, home care, to grooming products. Some of its notable brands are Pampers, Tide, Ariel, Downey, Head & Shoulders. Pantene, Gillette, Oral-B, Olay, and SafeGuard among others. The company was founded in 1837 and is based in Cincinnati, Ohio.",Procter & Gamble Company is an American multi-national consumer goods corporation.,,Active,1/13/1978,day,1837-10-01,day,For Profit,,,"Beauty, Brand Marketing, Consumer, Consumer Goods, Cosmetics, Nutrition, Pet, Pharmaceutical",IPO,,,,,,,,,,,,,,Made Acquisitions,6,8,748,0.5
Mayfield Fund,https://www.crunchbase.com/organization/mayfield-fund,496,120,"Menlo Park, California, United States","Mayfield is a global venture capital firm with over $2.7 billion under management with a people-first philosophy of investing. Mayfield invests primarily in early-stage technology companies in the enterprise and consumer sectors. Since its founding in 1969, the firm has invested in more than 530 companies resulting in 116 IPOs and more than 200 mergers or acquisitions, including Moat (acquired by Oracle), Servicemax (acquired by GE), Elastica (acquired by Symantec), Marketo (IPO, then acquired by Vista Equity Partners), Qunar (IPO), and SolarCity (IPO, then acquired by Tesla).",Mayfield is a global venture capital firm which was founded in 1969 with a people-first philosophy.,,Active,,,1/1/1969,year,,Venture Capital,Early Stage Venture,"Consumer, Enterprise, Health Care, Venture Capital",,,,,,,,,,,,,,,,120,257,806,6.8
Picus Capital,https://www.crunchbase.com/organization/picus-capital,74,,"Munich, Bayern, Germany","Picus Capital is an early-stage technology investment firm with a long-term investment philosophy. We work together with daring technology companies to build successful, global companies challenging the status quo and shaping tomorrow. We want to become the closest partner of our portfolio companies by working together on key strategic decisions and operative challenges. As a privately financed venture capital investor with long-term and flexible capital we are looking for exceptional founders who are committed to building category leaders throughout the next 5-10+ years. We invest in early-stage technology ventures with a focus on Real Estate, Finance & Insurance, Human Resources, Renewable Energy, Mobility, and Health. Picus makes initial investments in pre-seed, seed and series A ventures thereby starting to work together with entrepreneurs in various stages of their companies ranging from ideation phase to initial traction. We follow a very long-term investment approach investing significant amounts throughout the lifecycle of the companies. We have invested in over 50 companies to date. At Picus we work in a culture combining the discipline of a financial investor with the creativity and pragmatism of an entrepreneur. We follow a comprehensive and well-structured investment approach in order to identify the most attractive and ambitious investment opportunities in our target industries and geographies. Within our core investment team every member has a distinctive industry competence and a functional or geographic focus. We are working closely together with our portfolio companies to develop large and successful market leaders. This comprises in particular leveraging our marketing & sales expertise and our global market perspective to provide strategic advice, providing HR management to grant access to top talent, connecting our portfolio companies with our broad B2B & investor network as well as supporting the fundraising process.",Picus Capital is an early-stage technology investment firm with a long-term investment philosophy.,,Active,,,1/1/2015,year,,"Venture Capital, Venture Debt","Convertible Note, Debt, Early Stage Venture, Seed","Finance, Health Care, Human Resources, Insurance, Real Estate, Renewable Energy, Transportation",,,,,,,,,,,,,,,,,42,813,9.4
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,684,94,"Menlo Park, California, United States","Khosla Ventures is a venture capital firm started in 2004 by Vinod Khosla, Co-Founder of Sun Microsystems.  The firm focuses on environmentally friendly technologies in addition to the traditional venture areas such as the Internet, computing, mobile and silicon technology arenas.","Khosla Ventures is a venture capital firm that focuses on environmentally friendly tech, internet, computing, mobile, and silicon tech.",,Active,,,1/1/2004,day,,Venture Capital,"Early Stage Venture, Late Stage Venture","Financial Services, Health Care, Mobile, Venture Capital",,,,,,,,,,,,,,,,94,374,834,1.2
Summit Partners,https://www.crunchbase.com/organization/summit-partners,329,199,"Boston, Massachusetts, United States","Founded in 1984, Summit Partners is a global alternative investment firm that is currently investing more than $9.5 billion into growth equity, fixed income and public equity opportunities. Summit has invested in more than 460 companies in technology, healthcare, life sciences and other growth industries. These companies have completed more than 140 public equity offerings, and more than 180 strategic mergers and sales.  Summit Partners enhances the value of these companies through infrastructure development, executive and board recruiting, and strategic and operational advice. The firm also brings extensive experience in helping companies navigate the complex process of public offerings or strategic sales and mergers.  Summit Partners' target investment range is $10 million to more than $500 million. Summit has offices in Boston, Menlo Park and London.","Global alternative investment firm currently investing more than $9.5B into growth equity, fixed income and public equity opportunities",,Active,,,1/1/1984,year,,Private Equity Firm,"Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed","E-Commerce, Energy, FinTech, Hardware, Health Care, Information Technology, Life Science, Media and Entertainment, SaaS",,,,,,,,,,,,,,,Made Acquisitions,199,300,845,7.9
Novo Holdings,https://www.crunchbase.com/organization/novo-a-s,144,54,"Copenhagen, Hovedstaden, Denmark","Established in 1999, Novo Holdings is the holding company of the Novo Group and manages the Foundation's investment assets. In addition to being the major shareholder in the Novo Group companies, Novo Holdings invests the wealth of the Foundation in two key categories: 1. Life Science Investments, which includes investing in life science companies at all stages of development; and 2. Financial Investments, which manages a diversified portfolio of equity and fixed income securities. Working out of Copenhagen, San Francisco and Boston, Novo Holdings is a world-leading life science investor with a focus on creating long-term value. The purpose of the investments of Novo Holdings is both to grow the assets of the Foundation and to deliver a return that the Foundation can distribute for scientific, social and humanitarian purposes to improve the health and welfare of people.","Novo A/S is the holding company of the Novo Group, wholly-owned by the Novo Nordisk Foundation.",,Active,,,1/1/1999,year,,Venture Capital,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed","Biotechnology, Finance, Financial Services, FinTech, Health Care, Medical",,,,,,,,,,,,,,,Made Acquisitions,54,98,874,9
Sanofi,https://www.crunchbase.com/organization/sanofi,13,4,"Paris, Ile-de-France, France","Sanofi is a healthcare company engaged in the research, development, manufacturing, and marketing of innovative therapeutic solutions. It covers areas such as diabetes solutions, human vaccines, innovative drugs, consumer healthcare, emerging markets, animal health and the new G enzyme. Its products includes prescriptions and over-the-counter drugs for thrombosis, cardiovascular disease, diabetes, central nervous system disorders, oncology and internal medicine, vaccines and other medical products.  The two young groups Sanofi and Synthélabo merged in May 1999 to create a major new pharmaceutical player. Sanofi dates back to 1973 and Synthélabo to 1970. In December 1999, Rhône-Poulenc and Hoechst Marion Roussel formalized their merger with the creation of the Franco-German group Aventis, one of the world’s largest pharmaceutical companies. In August 2004, Sanofi-Synthelabo acquired Aventis. The takeover was finalized on December 31 of that year, giving birth to sanofi-aventis. On May 6, 2011, sanofi-aventis simplified its name to Sanofi. Sanofi  operates in over 100 countries throughout the world.","Sanofi is engaged in the research, development, manufacturing, and marketing of innovative therapeutic solutions.",,Active,7/5/2002,day,8/20/2004,day,For Profit,,,"Health Care, Medical, Therapeutics",M&A,,,,,,,,,,,,,,"Made Acquisitions, Was Acquired",4,12,876,8.6
Versant Ventures,https://www.crunchbase.com/organization/versant-ventures,296,72,"Menlo Park, California, United States","Versant Ventures is a leading healthcare investment firm committed to helping exceptional entrepreneurs build the next generation of great companies. The firm invests across the healthcare sector and at all stages of company development, with an emphasis on the discovery and development of novel therapeutics. With $2.3 billion under management and offices in Canada, the U.S. and Europe, Versant has built a team with deep investment, operating, and scientific expertise that enables a hands-on approach to company building. Since the firm’s founding in 1999, more than 65 Versant companies have achieved successful acquisitions or IPOs.","Versant Ventures caters to the healthcare sector with early and later stage venture, private equity, and debt financing investments.",,Active,,,1/1/1999,year,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity","Financial Services, Health Care, Venture Capital",,,,,,,,,,,,,,,,72,143,891,8.6
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,"1,579",327,"Menlo Park, California, United States","New Enterprise Associates, Inc. (NEA) is a global venture capital firm focused on helping entrepreneurs build transformational businesses across multiple stages, sectors and geographies. With over $19 billion in cumulative committed capital since the firm’s founding in 1977, NEA invests in technology and healthcare companies at all stages in a company’s lifecycle, from seed stage through IPO. The firm's long track record of successful investing includes more than 210 portfolio company IPOs and more than 360 acquisitions. For additional information, visit www.nea.com",New Enterprise Associates is a global venture capital firm investing in technology and healthcare.,,Active,,,1/1/1977,day,,Venture Capital,"Early Stage Venture, Late Stage Venture","Biotechnology, Consumer, Energy, Health Care, Medical Device, Pharmaceutical, SaaS",,,,,,,,,,,,,,,Made Acquisitions,327,813,921,6.5
Humana,https://www.crunchbase.com/organization/humana,9,2,"Louisville, Kentucky, United States","For 50 years, Humana, headquartered in Louisville, Kentucky, has been an innovator with a commitment to service, health and wellness. Their focus on people, choice, engagement, and innovation guides our business practices and decision-making.  In addition to group health plans, Humana's diverse lines of business work to serve all types of consumers. From families to seniors to military members to self-employed individuals, there is a plan to meet many unique needs.","Humana's operates through three segments: Retail, Group, and Healthcare Services.",,Active,3/19/1993,day,1/1/1964,year,For Profit,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture","Health Care, Health Insurance, Insurance, Venture Capital",IPO,,,,,,,,,,,,,,Made Acquisitions,2,8,932,8.9
GE Healthcare,https://www.crunchbase.com/organization/ge-healthcare,10,3,"Fairfield, Connecticut, United States","GE Healthcare provides transformational medical technologies and services that are shaping a new age of patient care. Their broad expertise in medical imaging and information technologies, medical diagnostics, patient monitoring systems, drug discovery, biopharmaceutical manufacturing technologies, performance improvement and performance solutions services help their customers to deliver better care to more people around the world at a lower cost. In addition, they partner with healthcare leaders, striving to leverage the global policy change necessary to implement a successful shift to sustainable healthcare systems.",GE Healthcare provides transformational medical technologies and services that are shaping a new age of patient care.,,Active,,,1892-01-01,year,,,,"Biotechnology, Health Care, Health Diagnostics, Medical",,,,,,,,,,,,,,,Made Acquisitions,3,8,"1,003",6.9
ARCH Venture Partners,https://www.crunchbase.com/organization/arch-venture-partners,308,67,"Chicago, Illinois, United States","ARCH invests primarily in companies co-founded with leading scientists and entrepreneurs, concentrating on bringing to market innovations in life sciences. They enjoy special recognition as a leader in the successful commercialization of technologies developed at academic research institutions and national laboratories. ARCH has raised ten venture funds totaling over $3 billion and has invested in the earliest venture capital rounds for more than 150 companies. ARCH investors include major corporations, pension funds, endowment funds, financial institutions, and private investors.","Early stage venture firm focused on life science discoveries to prevent, detect and cure disease.",,Active,,,1/1/1986,year,,Venture Capital,"Early Stage Venture, Seed, Venture","Biotechnology, Health Diagnostics, Life Science, Pharmaceutical, Therapeutics, Venture Capital",,,,,,,,,,,,,,,,67,153,"1,005",-0.5
Pfizer,https://www.crunchbase.com/organization/pfizer,25,8,"New York, New York, United States","Good health is vital to all of them , and finding sustainable solutions to the most pressing health care challenges of their world cannot wait. That's why they at Pfizer are committed to applying science and their global resources to improve health and well-being at every stage of life. They strive to provide access to safe, effective and affordable medicines and related health care services to the people who need them. They have a leading portfolio of products and medicines that support wellness and prevention, as well as treatment and cures for diseases across a broad range of therapeutic areas; and they have an industry-leading pipeline of promising new products that have the potential to challenge some of the most feared diseases of their time, like Alzheimer's disease and cancer.",Pfizer is a pharmaceuticals and biotechnology company.,,Active,1/13/1978,day,1849-01-01,year,,,,"Biotechnology, Health Care, Medical, Pharmaceutical",IPO,,,,,,,,,,,,,,Made Acquisitions,8,21,"1,021",-1.3
