investor_name,Number of Investments,Location,Full Description,Exit Date,Categories,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Liquidity Event Score,Funding Date Score,Total Score,Rank
New Enterprise Associates,"1,579","Menlo Park, California, United States","For 50 years, Humana, headquartered in Louisville, Kentucky, has been an innovator with a commitment to service, health and wellness. Their focus on people, choice, engagement, and innovation guides our business practices and decision-making.  In addition to group health plans, Humana's diverse lines of business work to serve all types of consumers. From families to seniors to military members to self-employed individuals, there is a plan to meet many unique needs.",,"Biotechnology, Consumer, Energy, Health Care, Medical Device, Pharmaceutical, SaaS",,,,0,0,0,370
Humana,9,"Louisville, Kentucky, United States","GE Healthcare provides transformational medical technologies and services that are shaping a new age of patient care. Their broad expertise in medical imaging and information technologies, medical diagnostics, patient monitoring systems, drug discovery, biopharmaceutical manufacturing technologies, performance improvement and performance solutions services help their customers to deliver better care to more people around the world at a lower cost. In addition, they partner with healthcare leaders, striving to leverage the global policy change necessary to implement a successful shift to sustainable healthcare systems.",3/19/1993,"Health Care, Health Insurance, Insurance, Venture Capital",,,,0,0,0,370
GE Healthcare,10,"Fairfield, Connecticut, United States","ARCH invests primarily in companies co-founded with leading scientists and entrepreneurs, concentrating on bringing to market innovations in life sciences. They enjoy special recognition as a leader in the successful commercialization of technologies developed at academic research institutions and national laboratories. ARCH has raised ten venture funds totaling over $3 billion and has invested in the earliest venture capital rounds for more than 150 companies. ARCH investors include major corporations, pension funds, endowment funds, financial institutions, and private investors.",,"Biotechnology, Health Care, Health Diagnostics, Medical",,,,0,0,0,370
ARCH Venture Partners,308,"Chicago, Illinois, United States","Good health is vital to all of them , and finding sustainable solutions to the most pressing health care challenges of their world cannot wait. That's why they at Pfizer are committed to applying science and their global resources to improve health and well-being at every stage of life. They strive to provide access to safe, effective and affordable medicines and related health care services to the people who need them. They have a leading portfolio of products and medicines that support wellness and prevention, as well as treatment and cures for diseases across a broad range of therapeutic areas; and they have an industry-leading pipeline of promising new products that have the potential to challenge some of the most feared diseases of their time, like Alzheimer's disease and cancer.",,"Biotechnology, Health Diagnostics, Life Science, Pharmaceutical, Therapeutics, Venture Capital",,,,0,0,0,370
Pfizer,25,"New York, New York, United States","The U.S. Small Business Administration (SBA) Office of Technology administers the Small Business Innovation Research (SBIR) Program and the Small Business Technology Transfer (STTR) Program. Through these two competitive programs, SBA ensures that the nation's small, high-tech, innovative businesses are a significant part of the federal government's research and development efforts. Eleven federal departments participate in the SBIR program; five departments participate in the STTR program awarding $2billion to small high-tech businesses. The U.S National Science Foundation administers the SBIR.GOV site on behalf of the federal government. GRANTS.gov GRANTS.gov is your source to FIND and APPLY for federal government grants. Before completing an application, please contact the Agency you are applying to to make sure they use GRANTS.gov History The program was established with the passing of the Small Business Innovation Development Act in 1982, and must be periodically reauthorized by the United States Congress. Reauthorization is generally included in each new budget. The latest authorization extends the program by continuing resolution until January 31, 2011. The SBIR program was created to support scientific excellence and technological innovation through the investment of federal research funds in critical American priorities to build a strong national economy ... one business at a time. In the words of program founder Roland Tibbets: ""to provide funding for some of the best early-stage innovation ideas -- ideas that, however promising, are still too high risk for private investors, including venture capital firms.""[citation needed] For the purposes of the SBIR program, the term ""small business"" is defined as a for-profit business with fewer than 500 employees, owned by one or more individuals who are citizens of, or permanent resident aliens in, the United States of America.",1/13/1978,"Biotechnology, Health Care, Medical, Pharmaceutical",,,,0,0,0,370
Small Business Innovation Research,25,"America, Alabama, United States","UnitedHealth Group is the most diversified health care company in the United States and a leader worldwide in helping people live healthier lives and helping to make the health system work better for everyone. UnitedHealth Group  are committed to introducing innovative approaches, products and services that can improve personal health and promote healthier populations in local communities.  Our core capabilities in clinical care resources, information and technology uniquely enable us to meet the evolving needs of a changing health care environment as millions more Americans enter a structured system of health benefits and  UnitedHealth Group  help build a stronger, higher quality health system that is sustainable for the long term.",,"Association, Banking, Biotechnology, Consulting, Government, Information Technology",,,,0,0,0,370
UnitedHealth Group,4,"Minneapolis, Minnesota, United States",,10/26/1984,"Health Care, Medical, Wellness",,,,0,0,0,370
Founder Collective,358,"Cambridge, Massachusetts, United States","GSK is a UK-based pharmaceutical and healthcare company focusing on research to develop and distribute treatments for HIV/AIDS, TB, and malaria.   They also distribute some OTC products.",,"Advertising, E-Commerce, Hardware, Health Care, Internet of Things, Marketplace, Mobile, SaaS, Software",,,,0,0,0,370
GlaxoSmithKline,18,"Middlesex, New Jersey, United States","Celgene Corporation is a global integrated biopharmaceutical company primarily engaged in the discovery, development and commercialization of innovative therapies designed to treat cancer and immune-inflammatory related diseases in patients with limited treatment options.  There are hundreds of clinical trials at major medical centers evaluating compounds from Celgene. Investigational compounds are being studied for patients with incurable hematological and solid tumor cancers, including multiple myeloma (MM), myelodysplastic syndromes (MDS), chronic lymphocytic leukemia (CLL), non-Hodgkin’s lymphoma (NHL), pancreatic cancer, non-small lung cancer and melanoma.  In addition, several compounds are being evaluated as therapies for serious inflammatory diseases such as psoriasis and psoriatic arthritis.",1/13/1978,"Biotechnology, Health Care, Pharmaceutical",,,,0,0,0,370
Celgene,62,"Summit, New Jersey, United States","SIG's China venture capital and private equity activities are operated through SIG Asia Investments, LLLP (SAI) and its wholly foreign owned enterprise (WFOE) based in Shanghai with a branch office in Beijing. The SIG China team seeks to commit the firm’s capital to venture capital and private equity investments in China. SAI is a member of the Susquehanna International Group of companies (SIG), which has evolved over the past 20+years into a leading financial institution focusing on trading and market making, institutional sales and research, private equity, and venture capital. With more than 1,400 employees across offices worldwide, SIG’s professionals develop ideas in an entrepreneurial environment, taking full advantage of SIG’s cutting edge technology and quantitative research. SIG is committed to expanding its global businesses in China. As part of that effort SAI has been mandated to commit SIG's proprietary capital in VC and PE investments in companies operating in the PRC.",8/7/1987,"Biotechnology, Medical",,,,0,0,0,370
SIG China (SIG Asia Investments),251,"Shanghai, Shanghai, China","FDA is an agency within the U.S. Department of Health and Human Services. The FDA's organization consists of the Office of the Commissioner and four directorates overseeing the core functions of the agency: Medical Products and Tobacco, Foods, Global Regulatory Operations and Policy, and Operations. FDA is responsible for protecting the public health by assuring the safety, efficacy and security of human and veterinary drugs, biological products, medical devices, our nation’s food supply, cosmetics, and products that emit radiation. FDA is also responsible for advancing the public health by helping to speed innovations that make medicines more effective, safer, and more affordable and by helping the public get the accurate, science-based information they need to use medicines and foods to maintain and improve their health. FDA also has responsibility for regulating the manufacturing, marketing and distribution of tobacco products to protect the public health and to reduce tobacco use by minors. Finally, FDA plays a significant role in the Nation’s counterterrorism capability. FDA fulfills this responsibility by ensuring the security of the food supply and by fostering development of medical products to respond to deliberate and naturally emerging public health threats.",,"E-Commerce, Health Care, Venture Capital",,,,0,0,0,370
Food and Drug Administration,2,"Silver Spring, Maryland, United States","Columbia University is one of the world's most important centers of research and at the same time a distinctive and distinguished learning environment for undergraduates and graduate students in many scholarly and professional fields.  The University recognizes the importance of its location in New York City and seeks to link its research and teaching to the vast resources of a great metropolis. It seeks to attract a diverse and international faculty and student body, to support research and teaching on global issues, and to create academic relationships with many countries and regions. It expects all areas of the University to advance knowledge and learning at the highest level and to convey the products of its efforts to the world.",,"Government, Health Care, Health Diagnostics, Law Enforcement, Legal, Medical",,,,0,0,0,370
Columbia University,2,"New York, New York, United States","Fulcrum Equity Partners is a growth equity firm investing in high-growth SaaS, tech-enabled services, healthcare services and healthcare IT companies.  Founded in 2006 and based in Atlanta, GA, Fulcrum has raised over $280 million across three funds and has invested in more than 30 companies.   Fulcrum will consider non-control and control investments, and provides capital to meet a variety of needs including internal growth initiatives, acquisitions, divestitures, shareholder liquidity, management buyouts and recapitalizations.  The partners have over 125 years of relevant experience, including operations, venture capital, mezzanine financing, accounting, law, investment banking and strategy consulting. For more information, please visit www.fulcrumep.com.",,"Education, Higher Education, Medical, Training, Universities",,,,0,0,0,370
Fulcrum Equity Partners,47,"Atlanta, Georgia, United States","With a 30-year reputation as a leading North American healthcare and life sciences venture capital firm, with offices in Toronto, Montreal, Vancouver and Boston, Lumira Ventures collaborates with and invests in entrepreneurial management teams to build best-in-class, innovation-centric biotherapeutic and medical device companies that are meeting significant unmet needs and creating transformation impact in communities worldwide. Since 1989, Lumira Ventures has invested in over 100 healthcare companies and currently has a portfolio of 30+ active investee companies located in Canada and the United States.",,"Enterprise Software, Health Care, Information Technology, SaaS",,,,0,0,0,370
Lumira Ventures,62,"Toronto, Ontario, Canada","Gilead Sciences, is a research-based biopharmaceutical company that discovers, develops and commercializes innovative medicines in areas of unmet need. With each new discovery and experimental drug candidate, they seek to improve the care of patients suffering from life-threatening diseases. Gilead's primary areas of focus include HIV/AIDS, liver disease and serious cardiovascular and respiratory conditions.",,"Biopharma, Biotechnology, Health Care, Health Diagnostics, Information Technology, Medical, Medical Device, Pharmaceutical, Therapeutics, Venture Capital",,,,0,0,0,370
Gilead Sciences,10,"Foster City, California, United States","AbbVie is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases.  In 2013, AbbVie employs approximately 21,000 people worldwide and markets medicines in more than 170 countries.",10/27/2017,"Biopharma, Biotechnology, Health Care, Manufacturing, Pharmaceutical",,,,0,0,0,370
AbbVie,4,"Chicago, Illinois, United States","Walgreens (www.walgreens.com) is the nation's largest drugstore chain with fiscal 2010 sales of $67 billion. The company operates 7,689 drugstores in all 50 states, the District of Columbia and Puerto Rico. Each day, Walgreens provides nearly 6 million customers the most convenient, multi-channel access to consumer goods and services and trusted, cost-effective pharmacy, health and wellness services and advice in communities across America. Walgreens scope of pharmacy services includes retail, specialty, infusion, medical facility and mail service, along with respiratory services. These services improve health outcomes and lower costs for payers including employers, managed care organizations, health systems, pharmacy benefit managers and the public sector. Take Care Health Systems is a Walgreens subsidiary that is the largest and most comprehensive manager of worksite health centers and in-store convenient care clinics, with more than 700 locations throughout the country.",12/21/2012,"Biotechnology, Health Care, Medical, Pharmaceutical",,,,0,0,0,370
Walgreens,5,"Deerfield, Illinois, United States","By adopting revolutionary mechanisms, FREES FUND is devoted to change the long-established rules in the venture capital. By leveraging the cutting-edge technologies and resources, FREES FUND aims at investing in great startups and helping them grow into great enterprises that are valuable to our society.  We mainly invest in early-stage startups, and hope to become their first-round institutional investor. Our primary interested areas are broad-sense TMT (Technology, Media, Telecom), B2B and deep technology.",,"Consumer Goods, Health Care, Medical, Pharmaceutical, Photography",,,,0,0,0,370
FREES FUND,75,"Beijing, Beijing, China","Whether a laboratory is engaged in environmental testing, academic research, medical diagnostics, pharmaceuticals, petrochemicals or food testing, Agilent provides laboratory solutions to meet their full spectrum of needs. We work closely with customers to help address global trends that impact human health and the environment, and to anticipate future scientific needs. Our solutions improve the efficiency of the entire laboratory, from sample prep to data interpretation and management.",,"B2B, Consumer Goods, E-Commerce, Education, Energy, FinTech, Medical, Virtual Reality",,,,0,0,0,370
Agilent Technologies,18,"Santa Clara, California, United States","BASF operates as a chemical company worldwide. The company conducts its operations through six business segments, including chemicals, plastics, performance products, functional solutions, agricultural solutions, and oil and gas.  Chemicals segment, the company offers products for customers in the chemical, electronic, construction, textile, automotive, pharmaceutical, and agricultural industries; and provides other BASF segments with chemicals for the production of higher-value products. The company's portfolio ranges from basic chemicals, glues and electronic chemicals for the semiconductor and flat panel display industry, to solvents and plasticizers, as well as starting materials for detergents, plastics, textile fibers, paints, coatings and pharmaceuticals. The Chemicals segment consists of the Inorganics, Petrochemicals and Intermediates divisions. Inorganics: The company's basic products are ammonia, methanol, sodium hydroxide, chlorine, as well as sulfuric and nitric acid. It serves electronic chemicals market in Asia and Europe.  Petrochemicals division, the petrochemicals division offers a range of products, such as ethylene, propylene, butadiene, and benzene are produced in steam crackers from naphtha or natural gas. In further processing stages, the company produces alcohols, solvents and plasticizers for the chemicals and plastics industries. Alkylene oxides and glycols are starting materials for the detergents, automotive, packaging and textile industries. Intermediates: With its 600 products, the company's Intermediates division develops, produces, and markets a range of intermediates of all producers worldwide. Performance Polymers, the company offers performance polymers, such as engineering plastics, polyamide and polyamide intermediates, as well as foams and specialty plastics for various applications. Polyurethanes: The company offers Polyurethanes, such as basic products, customer-specific systems and specialties for automotive, construction and furniture industries, as well as household appliances. Performance Products The Performance Products segment consists of the Acrylics & Dispersions, Care Chemicals and Performance Chemicals divisions. The company's product lines include amines, diols, polyalcohols, acids and specialties. They serve as starting materials for products such as coatings, plastics, pharmaceuticals, textile fibers, crop protection products, as well as detergents and cleaners. Plastics segment The Plastics segment offers a range of products, system solutions and services. The company offers engineering plastics for the automotive and electric industries, as well as for use in household appliances, sport and leisure. The company's styrenic foams are used as insulating materials in the construction industry and in the packaging industry. The company's polyurethanes are versatile: as soft foams, they are to be found in car seats and mattresses, and as rigid foams they serve as insulation in refrigerators. This segment produces plastics. The Performance Polymers and Polyurethanes divisions offer its customers energy-efficient products, system solutions and services. The company's customers are primarily in the automotive, electric/electronics, textile, packaging and construction industries.",11/26/1999,"Biotechnology, Hardware, Health Diagnostics",,,,0,0,0,370
BASF,8,"Ludwigshafen Am Rhein-oggersheim, Rheinland-Pfalz, Germany","The Cedars-Sinai Accelerator is transforming healthcare quality, efficiency, and care delivery by helping entrepreneurs bring their innovative technology products to market.     This three-month program, based in Los Angeles, California, provides companies with $100,000 in funding, mentorship from more than 300 leading clinicians and executives, access to Cedars-Sinai, and exposure to a broad network of entrepreneurs and investors. Since 2015, the accelerator has helped dozens of companies transform healthcare delivery and patient care.",7/5/2002,"Agriculture, Biotechnology, Chemical, Energy, Industrial Engineering, Manufacturing, Oil and Gas, Product Research",,,,0,0,0,370
The Cedars-Sinai Accelerator,50,"Los Angeles, California, United States","[Connecticut Innovations](http://www.ctinnovations.com) provides strategic capital and operational insight to to companies in high-tech industries such as energy, biotechnology, information technology, and photonics. Their mission is to be the leading source of financing and ongoing support for Connecticut’s innovative, growing companies. By offering flexible financing, strategic guidance and introductions to valuable partners, Connecticut innovations enable promising businesses to thrive.",,"Finance, Health Care, Information Technology",,,,0,0,0,370
Connecticut Innovations,199,"Rocky Hill, Connecticut, United States","Centers for Disease Control and Prevention is engaged in developing protection and safety methods to protect America from health, safety, and security threats. It is engaged in preventing chronic, acute, curable or preventable, human errors, and deliberate attacks.   It is engaged in detecting and responding to new and emerging health threats, tackling health problems causing death and disability for Americans, putting science and advanced technology into action to prevent diseases, promoting healthy and safe behaviors, along with communities and the environment, developing leaders, and training the public health workforce.   Centers for Disease Control and Prevention is based in Atlanta, GA.",,"Biotechnology, Energy, Information Technology, Manufacturing, Media and Entertainment",,,,0,0,0,370
Centers for Disease Control and Prevention,3,"Atlanta, Georgia, United States","Amgen is one of the world’s leading biotechnology companies. This company is a values-based company, deeply rooted in science and innovation to transform new ideas and discoveries into medicines for patients with serious illnesses. They offers products for the treatment of illness in the areas of oncology/hematology, cardiovascular, inflammation, bone health, nephrology, and neuroscience.",,"Government, Health Care, Security",,,,0,0,0,370
Amgen,7,"Thousand Oaks, California, United States","DXC Technology (DXC: NYSE) is the world's leading independent, end-to-end IT services company, serving nearly 6,000 private and public sector clients from a diverse array of industries across 70 countries. The company's technology independence, global talent and extensive partner network help clients harness the power of innovation to thrive on change and guide their digital transformation journeys. The company was formed on April 1, 2017, by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise. DXC Technology has successfully guided the world’s largest enterprises and government agencies through successful change cycles. With some 137,000 employees worldwide, the company’s deep experience gives it a clear and confident vision to help clients navigate the future.   DXC Technology is a Fortune 500 company and represented in the S&P 500 Index. The company works to create greater value for clients, partners and shareholders, and to present growth opportunities for its people. DXC Technology is ranked among the world’s best corporate citizens. DXC Technology’s extensive partner network helps us drive collaboration and leverage technology independence. The company has established more than 250 industry-leading global Partner Network relationships, including 15 strategic partners: Amazon Web Services, AT&T, Dell EMC, HCL, Hitachi Vantara, HP, HPE, IBM, Lenovo, Micro Focus, Microsoft, Oracle, PwC, SAP and ServiceNow.",6/24/1983,"Biotechnology, Health Care, Pharmaceutical",,,,0,0,0,370
DXC Technology,1,"Arlington, Virginia, United States",WellPoint is now known as Anthem Inc. WellPoint is a company which  believes that our health connects us all. So they focus on being a valued health partner and delivering quality products and services that give members access to the care they need.,3/21/2017,"Health Care, Information Technology, Insurance, Manufacturing",,,,0,0,0,370
Anthem,4,"Indianapolis, Indiana, United States","Casdin Capital, LLC is an investment firm focused on the life sciences and healthcare industry.",11/9/2001,"Health Care, Insurance",,,,0,0,0,370
Casdin Capital,47,"New York, New York, United States","Serious health and sustainability needs challenge societies worldwide. Incremental innovations by incumbents and conventional startups will not meet these challenges. Pioneering is Flagship’s proven process for originating and developing scientific ventures with unprecedented impact. Pioneering surmounts boundaries, obstacles and limits. Pioneering abandons familiar territory to embrace the transformative potential of new scientific paradigms. Pioneering creates new futures.",,"Biotechnology, Financial Services, Life Science",,,,0,0,0,370
Flagship Pioneering,204,"Cambridge, Massachusetts, United States","RebelBio is the London based team of the venture capital firm SOSV. RebelBio specializes in pre-seed investments in BioTech, HealthTech & Life Sciences. It invests broadly in science-based, tech-enabled early stage startups.    RebelBio backs 16 companies per year through its 3 months investment programme. During that time founders receive pre-seed funding and hands-on support from the VC team, working closely to de-risk and fast track the growth of their companies.   After the programme, startups can get follow-on investment from RebelBio’s fund SOSV, and support to its founders over the following years.",,"Biotechnology, Health Care, Medical Device, Pharmaceutical",,,,0,0,0,370
RebelBio,110,"London, England, United Kingdom","Octopus Ventures is a team that backs pioneering entrepreneurs. They believe that bold moves make a real impact on the world. Their typical investment in recent years has been £1m for Seed and £4m for Series A. They support, way beyond their financial investment. their team’s expertise, extended through Their Venture Partners’ in the UK, US, Singapore and China, connect us globally to a unique depth of experience, introductions and guidance. They are part of managing over £8.3 billion* on behalf of more than 50,000 investors, spanning investments, healthcare, energy and property.",,"Biotechnology, Finance, Life Science, Venture Capital",,,,0,0,0,370
Octopus Ventures,218,"London, England, United Kingdom","Village Capital uses the power of peer support to change the traditional dynamics between investors and entrepreneurs, providing access to entrepreneurship for everyone.  We recruit entrepreneurs solving specific problems in agriculture, energy, education, financial inclusion, and health. We then put the power of investment in the hands of the entrepreneurs, who award pre-committed seed funding to the two ventures ranked highest by the entrepreneurs at the end of every program. Our programs connect high potential, early-stage entrepreneurs with the people, institutions, and capital they need to succeed. We support early-stage ventures with a 501c3 nonprofit that operates training programs for founders, investors, and communities. We also manage a for-profit, managed investment fund that provides early-stage capital to top graduates of each program, as selected by their peers. Our unique peer-selection model received McKinsey/Harvard Business Review’s prestigious M-Prize for innovation in 2013, and we have supported more than 550 enterprises across 51 programs in 9 countries. Since 2009, Village Capital has supported more than 1,000 entrepreneurs through our programs and partnered with affiliated investment funds, including VilCap Investments, that have invested seed capital in more than 90 program graduates. Over the past 8 years, our program graduates have gone on to generate $61.5M in revenue, reach 8.5 million customers, and create over 11,500 jobs. 96% of our alumni would recommend our program to other entrepreneurs, and to date and 91% of our entrepreneurs are still in business.",,"Finance, Financial Services, Health Care, Impact Investing",,,,0,0,0,370
Village Capital,49,"Washington, District of Columbia, United States","Align Technology, Inc. designs, manufactures, and markets the invisalign system for treating malocclusion or the misalignment of teeth. Invisalign corrects malocclusion using a series of clear, nearly invisible, removable appliances that gently move teeth to a desired final position. The company's products include Invisalign Full for the treatment of a range of malocclusions; Invisalign Express, a solution for less complex orthodontic cases; Invisalign Teen, which is designed to meet the specific needs of the non-adult comprehensive or teen treatment market; Vivera retainers that offer aesthetic retention solution for invisalign and non-invisalign patients; and Invisalign Assist, which is designed for general practitioners for selecting, monitoring, and finishing invisalign cases. It also offers ancillary products comprising cleaning material and adjusting tools for dental professionals. Align Technology distributes its products directly to orthodontists and general practitioner dentists in North America, Europe, the Asia Pacific, Latin America, and Japan. The company was founded in 1997 and is headquartered in Santa Clara, California.",,"Agriculture, EdTech, Education, Energy, Finance, Financial Services, FinTech, Health Care",,,,0,0,0,370
Align Technology,2,"San Jose, California, United States","At Illumina, their goal is to apply innovative technologies and revolutionary assays to the analysis of genetic variation and function, making studies possible that were not even imaginable just a few years ago. These studies will help make the realization of personalized medicine possible. With such rapid advances in technology taking place, it is mission critical to have solutions that are not only innovative, but flexible, scalable, and complete with industry-leading support and service. As a global company that places high value on collaborative interactions, rapid delivery of solutions, and prioritizing the needs of its customers, they strive to meet this challenge. Illumina's innovative, array-based solutions for DNA, RNA, and protein analysis serve as tools for disease research, drug development, and the development of molecular tests in the clinic.",1/26/2001,"Hardware, Health Care, Software",,,,0,0,0,370
Illumina,12,"San Diego, California, United States","Astellas Pharma Inc. is a Japan-based company mainly engaged in the pharmaceuticals and related products business.  The company operates in two business segments. - The Pharmaceuticals and Related Products segment is engaged in the development, manufacture and sale of its pharmaceuticals to both domestic and overseas markets including Japan, North America, Europe and Asia. - The Others segment is engaged in the real estate business. In July 2010, the company established a subsidiary in Brazil.",8/1/2000,"Biotechnology, Genetics, Medical",,,,0,0,0,370
Astellas Pharma,6,"Tokyo, Tokyo, Japan","SV Health Investors, formerly SV Life Sciences, is a leading healthcare and life sciences venture capital and growth equity firm. Their goal is to transform healthcare – one investment at a time – by supporting the entrepreneurs who create and build breakthrough companies and treatments. With over $2 billion in capital under management in seven private healthcare funds, a 20-year track record in the US and Europe and offices in Boston, San Francisco and London, SV Health Investors drives game-changing innovation.",1/9/2009,"Biotechnology, Health Care, Medical",,,,0,0,0,370
SV Health Investors,211,"Boston, Massachusetts, United States","Cinven is an international private equity firm, founded in 1977, with offices in London, Frankfurt, Guernsey, Hong Kong, Luxembourg, Madrid, Milan, New York and Paris. Funds managed by Cinven acquire companies with a European focus that will benefit from Cinven's expertise of growing and building companies globally and require an equity investment of €200 million or more. Cinven can also invest selectively in businesses in North America. Cinven's Portfolio team helps our portfolio companies take advantage of international best practices and growth in global markets, including those in Asia and the Americas. Cinven uses a matrix of sector and country experience to invest in companies where it can strategically drive revenue growth. We focus on six sectors: Business Services, Consumer, Financial Services, Healthcare, Industrials, and Technology, Media and Telecommunications (TMT) and have invested in companies in 15 countries. Cinven funds acquire successful, high-quality companies and work with them to help them grow and develop, using our proven value creation strategies. The typical holding period for an investment is between four and six years. We take a responsible approach towards our portfolio companies, their employees, suppliers and local communities, the environment and society. Cinven has built a strong track record over 25 years investing successfully through economic cycles. Cinven is currently investing the Sixth Cinven Fund. Cinven is partner owned.  The Cinven Funds are managed by Cinven Limited, Cinven Capital Management (V) General Partner Limited and Cinven Capital Management (VI) General Partner Limited (the 'Guernsey Managers'). The Boards of the Guernsey Managers supervise the governance of the Cinven Funds.  Cinven's only business is the management of private equity funds, so the issue of potential conflicts of interest in respect of corporate advisory work does not apply to the firm.",,"Biotechnology, Health Care, Medical Device",,,,0,0,0,370
Cinven,9,"London, England, United Kingdom","Express Scripts operates as a pharmacy benefit management company in the United States and Canada. Its PBM segment offers clinical solutions; and specialized pharmacy care, home delivery and specialty pharmacy, retail network pharmacy administration, benefit design consultation, drug utilization review, drug formulary management, public exchange, administration of group purchasing organization, and digital consumer health and drug information services.  This segment also provides Medicare, Medicaid, and health insurance marketplace products; Express Scripts SafeGuardRx, a suite of solutions targeting the therapy classes that pose clinical challenges and budgetary threat to its clients; and Inside Rx, a program that provide affordable access to medication for uninsured and underinsured individuals. Its Other Business Operations segment distributes specialty pharmaceuticals and medical supplies, including injectable and infusible pharmaceuticals and medications to treat specialty and rare/orphan diseases.  This segment also provides medical benefit management solutions for radiology, cardiology, musculoskeletal disorders, sleep disorders, post-acute care, genetic lab, specialty pharmacy, and medical oncology. The company serves patients, self-funded plans, health plans, regulated markets, workers’ compensation, physicians, and pharmacists. It operated 4 automated dispensing home delivery pharmacies; 1 non-automated dispensing home delivery pharmacy; 7 non-dispensing order processing centers; 5 patient contact centers; 9 specialty home delivery pharmacies; and 34 specialty branch pharmacies as of December 31, 2017.  Aristotle Holding that began operation in 1986 became Express Scripts Holding Company in April 2012, with its headquarters in Saint Louis in Missouri. Express Scripts operates as a subsidiary of Cigna as of December 20, 2018.",,"Financial Services, Health Care, Telecommunications, Venture Capital",,,,0,0,0,370
Express Scripts,2,"Mt Pleasant, South Carolina, United States","Founded in 1991, Frazier Healthcare Partners is a leading provider of growth capital to healthcare companies.  The firm has over $2B under management and has made investments in over 170 healthcare companies, with investment types ranging from company creation and venture capital to growth buyouts and leveraged recapitalizations. Frazier’s experienced team takes an active approach to helping build portfolio companies, leveraging the team’s deep domain expertise and expansive network of healthcare executives, advisors, and industry thought leaders.  The firm’s Growth Buyout team invests in profitable companies focusing on healthcare services, pharmaceutical services, medical products, and related sectors.  The firm’s Life Sciences team invests in therapeutics and related areas that are addressing unmet medical needs through innovation.",1/19/1992,"Health Care, Information Technology, Internet, Pharmaceutical, Software",,,,0,0,0,370
Frazier Healthcare Partners,155,"Seattle, Washington, United States","The Carlyle Group is a company involved in the Private Equity Industry primarily. They operate more than $81.1 billion of equity capital under management. The firm operates four fund families, focusing on leveraged buyouts, venture & growth capital, real estate and leveraged finance investments. They recently opened up another arm for their hedge funds. The firm employs more than 575 investment professionals in 21 countries with several offices in North America, South America, Europe, Asia and Australia; its portfolio companies employ more than 286,000 people worldwide. Carlyle has over 1200 institutional and private investors in 68 countries.",,"Health Care, Venture Capital",,,,0,0,0,370
The Carlyle Group,217,"Washington, District of Columbia, United States","The U.S. Navy was founded on 13 October 1775, and the Department of the Navy was established on 30 April 1798. The Department of the Navy has three principal components: The Navy Department, consisting of executive offices mostly in Washington, D.C.; the operating forces, including the Marine Corps, the reserve components, and, in time of war, the U.S. Coast Guard (in peace, a component of the Department of Homeland Security); and the shore establishment.  We are professional Sailors and Civilians - a diverse and agile force exemplifying the highest standards of service to our Nation, at home and abroad, at sea and ashore. Integrity is the foundation of our conduct; respect for others is fundamental to our character; decisive leadership is crucial to our success. We are a team, disciplined and well-prepared, committed to mission accomplishment. We do not waver in our dedication and accountability to our shipmates and families. We are patriots, forged by the Navy's core values of Honor, Courage and Commitment. In times of war and peace, our actions reflect our proud heritage and tradition. We defend our Nation and prevail in the face of adversity with strength, determination, and dignity. We are the United States Navy.",5/3/2012,"Aerospace, Asset Management, Financial Services, Health Care, Management Consulting",,,,0,0,0,370
United States Navy,9,"Arlington, Virginia, United States","""Johnson & Johnson Innovation is a center to science and business experts to collaborate with innovators to incorporate science into healthcare solutions, including medical device and diagnostic technologies, consumer healthcare products, and pharmaceuticals. It is focused on the advancement of new healthcare solutions in the consumer, pharmaceutical, and medical devices and diagnostics sectors.’ The company provides financing tools that include early-stage research funding, seed funding, equity investments, licensing, and collaborations. Additionally, it offers its partners access to international markets, pricing and reimbursement, market testing, company creation services, and more. They conduct their activities with the help of regional incubators, satellite operations, single bench tops, modular labs, office space for entrepreneurs, and an year-round curriculum focused on business and drug development. Johnson & Johnson Innovation is a subsidiary of [Johnson & Johnson](http://www.crunchbase.com/organization/johnson-johnson)  and its centers are located in Boston, California, London, and Shanghai.""",,"Big Data, Cloud Computing, Cyber Security, Health Diagnostics, Law Enforcement, Legal, Market Research, Medical, National Security, Politics, Public Safety, Search Engine, Software",,,,0,0,0,370
