Organization/Person Name,Number of Investments,Location,Exit Date,Categories,Last Funding Date, Last Funding Amount Currency (in USD) ,Last Funding Type
Lean Launch Ventures,,"Westport, Connecticut, United States",,"Enterprise Software, Health Care",10/1/2012," $200,000.00 ",Seed
Magellan Bioscience Group,1,"Tampa, Florida, United States",,"Biotechnology, Life Science, Medical",9/17/2012," $25,000.00 ",Venture - Series Unknown
MedCity News,1,"Cleveland, Ohio, United States",,"Biotechnology, Health Care, News",8/31/2012," $250,000.00 ",Seed
Wyss Institute,,"Boston, Massachusetts, United States",,"Advanced Materials, Biotechnology, Education, Medical",7/26/2012," $37,000,000.00 ",Venture - Series Unknown
Laborie Medical Technologies,1,"Mississauga, Ontario, Canada",8/22/2016,"Health Care, Manufacturing, Medical",7/19/2012,,Private Equity
IONIQ,9,"Berlin, Berlin, Germany",,"Advertising, Big Data, FinTech, Health Care, Internet",5/7/2012," $5,220,766.00 ",Series A
Centene,6,"St Louis, Missouri, United States",12/13/2001,"Enterprise, Health Care, Hospital",1/6/2012," $21,102,000.00 ",Private Equity
InControl Medical,,"Brookfield, Wisconsin, United States",,"Alternative Medicine, Health Care, Medical, Medical Device, Personal Health",1/1/2012," $3,200,000.00 ",Venture - Series Unknown
Partners Healthcare Group,1,"Brentwood, Tennessee, United States",,"Health Care, Hospital, Information Technology",11/15/2011," $2,700,000.00 ",Seed
Trellis Bioscience,1,"San Francisco, California, United States",,"Biotechnology, Health Care, Therapeutics",11/9/2011," $235,000.00 ",Debt Financing
Charles River Laboratories International,1,"Wilmington, Massachusetts, United States",6/30/2000,"Biotechnology, Health Care, Pharmaceutical",9/29/2011," $34,000,000.00 ",Grant
HealthEquity,,"Draper, Utah, United States",2/13/2014,"E-Commerce, Financial Services, Health Care, Payments",9/9/2011," $12,500,000.00 ",Private Equity
BioStratum,1,"Durham, North Carolina, United States",,"Biotechnology, Health Care, Therapeutics",8/19/2011," $599,999.00 ",Seed
Ecelles Carson,1,"New York, New York, United States",,"Banking, Biotechnology, Consulting, Finance, Real Estate, Stock Exchanges",8/1/2011," $1,500,000.00 ",Seed
Venture Catalysts,6,"Matosinhos, Porto, Portugal",,"Advanced Materials, Biotechnology, Genetics, Hardware, Nanotechnology, Pharmaceutical, Software",6/13/2011," $40,000.00 ",Seed
Nitinol Devices & Components,1,"Fremont, California, United States",,"Health Care, Manufacturing, Medical",4/28/2011," $20,000,000.00 ",Venture - Series Unknown
CellCeuticals Skin Care,1,"Beverly Hills, California, United States",,"Beauty, Biotechnology, Consumer Goods, Health Care, Life Science, Manufacturing, Wellness",4/6/2011," $1,066,838.00 ",Debt Financing
Cashpor Micro Credit,,"Varanasi, Uttar Pradesh, India",,"Charity, Health Care, Humanitarian, Non Profit",4/5/2011," $7,000,000.00 ",Debt Financing
Abbott,7,"Illinois City, Illinois, United States",1/13/1978,"Biotechnology, Emergency Medicine, Genetics, Health Care, Health Diagnostics, Medical, Medical Device, Venture Capital",3/15/2011," $100,000.00 ",Debt Financing
Massachusetts Life Sciences Center,26,"Waltham, Massachusetts, United States",,"Biotechnology, Government",2/23/2011," $3,400,000.00 ",Grant
Biovest International,3,"Tampa, Florida, United States",,"Biotechnology, Developer Platform, Therapeutics",10/28/2010," $7,000,000.00 ",Debt Financing
CryoLife,1,"Kennesaw, Georgia, United States",2/19/1993,"Hardware, Medical, Software",10/13/2010," $1,250,000.00 ",Venture - Series Unknown
LaunchCyte,2,"Pittsburgh, Pennsylvania, United States",,"Biotechnology, Health Care, Medical",10/12/2010," $493,697.00 ",Venture - Series Unknown
West Health Institute,,"La Jolla, California, United States",,"Health Care, Market Research, Medical, Wireless",6/18/2010," $25,000,000.00 ",Grant
ActiveO,1,"Incline Village, Nevada, United States",,"Developer Platform, Health Care, Therapeutics",6/15/2010," $600,000.00 ",Venture - Series Unknown
Nerveda,1,"San Diego, California, United States",,"Biotechnology, Health Care, Health Diagnostics",4/12/2010," $14,135,454.00 ",Venture - Series Unknown
Tigermed,3,"Hangzhou, Zhejiang, China",8/24/2012,"Biotechnology, Clinical Trials, Pharmaceutical",3/1/2010," $2,000,000.00 ",Venture - Series Unknown
The Foundry,1,"Menlo Park, California, United States",,"Health Care, Industrial, Medical Device",1/14/2010," $3,000,000.00 ",Series A
Jazz Pharmaceuticals,2,"Palo Alto, California, United States",5/31/2007,"Biotechnology, Health Care, Pharmaceutical",12/7/2009," $120,000,000.00 ",Post-IPO Debt
Vertex Pharmaceuticals,2,"Boston, Massachusetts, United States",8/2/1991,"Biotechnology, Medical, Pharmaceutical",12/3/2009," $443,000,000.00 ",Post-IPO Equity
Tethys BioScience,1,"Emeryville, California, United States",,"Biotechnology, Health Care, Health Diagnostics",11/9/2009," $25,000,000.00 ",Series D
Auven Therapeutics,9,"Delray Beach, Florida, United States",,"Advice, Health Care, Therapeutics",10/27/2009," $100,000,000.00 ",Undisclosed
Union Spring Pharmaceuticals,1,"Union Star, Kentucky, United States",,"Biotechnology, Clinical Trials, Pharmaceutical",10/20/2009," $5,000,000.00 ",Series A
hVIVO,2,"London, England, United Kingdom",5/11/2012,"Biotechnology, Health Care, Medical",10/13/2009," $2,600,000.00 ",Series B
Santen Pharmaceutical,6,"Emeryville, California, United States",,"Biotechnology, Manufacturing, Pharmaceutical",9/26/2009," $22,001,167.00 ",Series D
KBI Biopharma,2,"Durham, North Carolina, United States",,"Biopharma, Biotechnology, Manufacturing",9/22/2009," $9,600,000.00 ",Venture - Series Unknown
Besunyen (Beijing Outsell Health),2,"Wanchai, Guangdong, China",9/12/2010,"Health Care, Tea, Therapeutics",9/9/2009,,Series A
Neurosearch,2,"Ballerup, Hovedstaden, Denmark",6/28/2002,"Biopharma, Biotechnology, Pharmaceutical",8/17/2009," $14,330,000.00 ",Venture - Series Unknown
Exact Sciences,1,"Madison, Wisconsin, United States",1/31/2001,"Biotechnology, Health Diagnostics",6/15/2009," $8,200,000.00 ",Venture - Series Unknown
Cell Genesys,1,"Hayward, California, United States",,"Biotechnology, Health Care, Medical",4/8/2009," $310,000.00 ",Venture - Series Unknown
BootstrapLabs,44,"San Francisco, California, United States",,"Artificial Intelligence, Cyber Security, Energy, Enterprise Software, Health Care, Internet of Things, Logistics, Machine Learning, Manufacturing, Transportation",6/1/2008,,Undisclosed
CDI Bioscience,1,"Madison, Wisconsin, United States",,"Biotechnology, Genetics",12/10/2007," $3,000,000.00 ",Venture - Series Unknown
Diapers.com,1,"Jersey City, New Jersey, United States",,"Baby, Customer Service, E-Commerce, Health Care, Marketplace",12/4/2007," $7,000,000.00 ",Series B
The Advisory Board Company,1,"Washington, District of Columbia, United States",11/23/2001,"Biotechnology, Health Care",11/27/2007,,Seed
Blue Vector Systems,1,"Mountain View, California, United States",,"Apps, Manufacturing, Pharmaceutical, Public Relations, Retail",11/2/2007,,Series C
Impact Engine,57,"Chicago, Illinois, United States",,"EdTech, Energy Efficiency, Enterprise Software, Health Care, Impact Investing, Information Technology",7/1/2007," $3,200,000.00 ",Series A
Incept,2,"Ann Arbor, Michigan, United States",,Medical,4/26/2007," $3,250,000.00 ",Series A
Aspen MedTech,1,"Bellevue, Washington, United States",,"Biotechnology, Medical, Medical Device",4/2/2007," $1,000,000.00 ",Venture - Series Unknown
Galil Medical,,"Saint Paul, Minnesota, United States",5/5/2016,"Biopharma, Health Care, Medical Device",12/11/2006," $52,000,000.00 ",Venture - Series Unknown
Cardinal Health,8,"Dublin, Ohio, United States",8/12/1983,"Health Care, Hospital, Medical",8/16/2006," $78,000,000.00 ",Post-IPO Debt
SeedTrust Capital Group,,"Columbus, Ohio, United States",,"Enterprise, Finance, Financial Services, Health Care, Internet, Real Estate, Venture Capital",6/2/2006," $150,000,000.00 ",Seed
Manipal Education and Medical Group (MEMG),1,"Bangalore, Karnataka, India",,"Education, Health Care, Medical",6/1/2006,,Private Equity
HopeLab,1,"Redwood City, California, United States",,"Health Care, Non Profit",2/20/2006," $9,000,000.00 ",Angel
HealthCare Partners,1,"Torrance, California, United States",11/1/2012,"Health Care, Health Diagnostics, Medical, Medical Device",3/2/2005,,Private Equity
Brand New Brands,2,"Mill Valley, California, United States",,"Food and Beverage, Health Care, Organic Food",2/15/2005," $15,000,000.00 ",Series A
Zealand Pharma,1,"Copenhagen, Hovedstaden, Denmark",8/9/2017,"Biopharma, Biotechnology, Health Care",2/1/2005,,Venture - Series Unknown
Harbin Pharmaceutical Group,1,"Harbin, Heilongjiang, China",9/22/2000,"Biotechnology, Health Care, Medical, Pharmaceutical",12/20/2004," $200,000,000.00 ",Private Equity
Avera Pharmaceutical,1,"Carlsbad, California, United States",,"Biotechnology, Health Care, Pharmaceutical",8/5/2004," $48,000,000.00 ",Series C
Insulet,1,"Bedford, Massachusetts, United States",5/15/2007,"Biotechnology, Health Care, Medical Device",3/2/2004," $35,500,000.00 ",Series D
Healthcare Management Directions,1,"Brentwood, Tennessee, United States",,"Consulting, Delivery, Health Care",2/13/2003," $8,100,000.00 ",Venture - Series Unknown
Topspin Medical,1,"Lod, HaMerkaz, Israel",,"Health Care, Information Technology, Life Science",12/24/2002," $16,500,000.00 ",Series B
Roche,6,"Basel, Basel-Stadt, Switzerland",3/14/2003,"Biotechnology, Health Diagnostics, Pharmaceutical",5/8/2001," $2,790,000,000.00 ",Post-IPO Equity
Bruker,1,"Madison, Wisconsin, United States",8/11/2000,"Chemical, Life Science, Medical",1/16/2001," $22,500,000.00 ",Post-IPO Equity
"Liberate Ideas, Inc",1,"Montclair, New Jersey, United States",7/28/1999,"Apps, Health Care, Internet, Software",7/17/2000," $100,000,000.00 ",Post-IPO Equity
MedicineNet,1,"San Clemente, California, United States",,"Health Care, Media and Entertainment, News, Wellness",6/26/2000," $5,000,000.00 ",Venture - Series Unknown
DSM,3,"Heerlen, Limburg, The Netherlands",3/17/2006,"Biotechnology, Health Care, Life Science",4/18/2000," $12,500,000.00 ",Venture - Series Unknown
Healthgrades,1,"Denver, Colorado, United States",2/7/1997,"Health Care, Information Services, Internet, Medical",3/21/2000," $18,000,000.00 ",Post-IPO Equity
Internet Healthcare Group,12,"Avon, Connecticut, United States",,"B2B, E-Commerce, Health Care",3/21/2000,,Venture - Series Unknown
Omnicell,1,"Mountain View, California, United States",8/7/2001,"Health Care, Hospital, Manufacturing",2/18/2000," $20,000,000.00 ",Venture - Series Unknown
Grand Central Holdings,5,"New York, New York, United States",,"Financial Services, Health Care, Transportation",1/25/2000,,Series B
Sopris Capital Associates,27,"New York, New York, United States",,"B2B, Health Care, Real Estate, Venture Capital",1/1/2000,,Venture - Series Unknown
The Innovation Factory,,"Duluth, Georgia, United States",,"Incubators, Medical, Venture Capital",11/30/1999," $1,000,000.00 ",Seed
Kainos,1,"Belfast, Belfast, United Kingdom",7/17/2015,"Consulting, Financial Services, FinTech, Health Care, Information Technology, Software",4/14/1986,,Venture - Series Unknown
Norwest Venture Partners,635,"Palo Alto, California, United States",,"B2B, Consumer, Finance, Financial Services, Health Care, Venture Capital",,,
National Science Foundation,289,"Alexandria, Virginia, United States",,"Advanced Materials, Biotechnology, Chemical Engineering, EdTech, Environmental Engineering, Government, Information Technology, Internet of Things, Manufacturing, Medical Device, Nanotechnology, Robotics, Semiconductor, Wireless",,,
Venrock,610,"Palo Alto, California, United States",,"Advertising, Biotechnology, FinTech, Hardware, Health Care, Medical Device, Mobile, Pharmaceutical, Security",,,
Felicis Ventures,407,"Menlo Park, California, United States",,"Artificial Intelligence, Cyber Security, Enterprise Software, Finance, Financial Services, FinTech, Health Care, Internet of Things, Logistics, Mobile, Robotics, Venture Capital",,,
Canaan Partners,577,"Menlo Park, California, United States",,"Biopharma, Enterprise Applications, FinTech, Health Care, Marketplace, Medical Device, Venture Capital",,,
Bessemer Venture Partners,905,"Redwood City, California, United States",,"Consumer, E-Commerce, Enterprise Software, FinTech, Health Care, Marketplace, Mobile, SaaS, Security",,,
Johnson & Johnson,16,"New Brunswick, New Jersey, United States",1/13/1978,"Health Care, Health Diagnostics, Information Technology",,,
Samsung NEXT,130,"Mountain View, California, United States",,"Augmented Reality, Health Care, Internet of Things, Machine Learning, Mobile, Payments, TV, Virtual Reality, Wearables",,,
High-Tech Grunderfonds,591,"Bonn, Nordrhein-Westfalen, Germany",,"Hardware, Health Care, Information and Communications Technology (ICT), Life Science, mHealth, Software, Venture Capital",,,
F-Prime Capital,191,"Cambridge, Massachusetts, United States",,"Biotechnology, Enterprise, Finance, Financial Services, FinTech, Health Care, Pharmaceutical, Venture Capital",,,
Nex Cubed,55,"San Francisco, California, United States",,"Aerospace, Artificial Intelligence, Big Data, Biotechnology, Consulting, Cyber Security, Drones, E-Commerce, Enterprise Software, FinTech, Health Care, Incubators, Information Technology, Internet of Things, Life Science, Machine Learning, Medical, Mobile, Natural Language Processing, Network Security, Online Games, Pharmaceutical, Predictive Analytics, Real Time, Retail Technology, Risk Management, Robotics, SaaS, Security, Software, Telecommunications, Virtual Reality, Wearables, Web Apps",,,
AstraZeneca,30,"Cambridge, Massachusetts, United States",5/21/1993,"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical",,,
Procter & Gamble Company,10,"Cincinnati, Ohio, United States",1/13/1978,"Beauty, Brand Marketing, Consumer, Consumer Goods, Cosmetics, Nutrition, Pet, Pharmaceutical",,,
Mayfield Fund,496,"Menlo Park, California, United States",,"Consumer, Enterprise, Health Care, Venture Capital",,,
Picus Capital,74,"Munich, Bayern, Germany",,"Finance, Health Care, Human Resources, Insurance, Real Estate, Renewable Energy, Transportation",,,
Khosla Ventures,684,"Menlo Park, California, United States",,"Financial Services, Health Care, Mobile, Venture Capital",,,
Summit Partners,329,"Boston, Massachusetts, United States",,"E-Commerce, Energy, FinTech, Hardware, Health Care, Information Technology, Life Science, Media and Entertainment, SaaS",,,
Novo Holdings,144,"Copenhagen, Hovedstaden, Denmark",,"Biotechnology, Finance, Financial Services, FinTech, Health Care, Medical",,,
Sanofi,13,"Paris, Ile-de-France, France",7/5/2002,"Health Care, Medical, Therapeutics",,,
Versant Ventures,296,"Menlo Park, California, United States",,"Financial Services, Health Care, Venture Capital",,,
New Enterprise Associates,"1,579","Menlo Park, California, United States",,"Biotechnology, Consumer, Energy, Health Care, Medical Device, Pharmaceutical, SaaS",,,
Humana,9,"Louisville, Kentucky, United States",3/19/1993,"Health Care, Health Insurance, Insurance, Venture Capital",,,
GE Healthcare,10,"Fairfield, Connecticut, United States",,"Biotechnology, Health Care, Health Diagnostics, Medical",,,
ARCH Venture Partners,308,"Chicago, Illinois, United States",,"Biotechnology, Health Diagnostics, Life Science, Pharmaceutical, Therapeutics, Venture Capital",,,
Pfizer,25,"New York, New York, United States",1/13/1978,"Biotechnology, Health Care, Medical, Pharmaceutical",,,
Small Business Innovation Research,25,"America, Alabama, United States",,"Association, Banking, Biotechnology, Consulting, Government, Information Technology",,,
UnitedHealth Group,4,"Minneapolis, Minnesota, United States",10/26/1984,"Health Care, Medical, Wellness",,,
Founder Collective,358,"Cambridge, Massachusetts, United States",,"Advertising, E-Commerce, Hardware, Health Care, Internet of Things, Marketplace, Mobile, SaaS, Software",,,
GlaxoSmithKline,18,"Middlesex, New Jersey, United States",1/13/1978,"Biotechnology, Health Care, Pharmaceutical",,,
Celgene,62,"Summit, New Jersey, United States",8/7/1987,"Biotechnology, Medical",,,
SIG China (SIG Asia Investments),251,"Shanghai, Shanghai, China",,"E-Commerce, Health Care, Venture Capital",,,
Food and Drug Administration,2,"Silver Spring, Maryland, United States",,"Government, Health Care, Health Diagnostics, Law Enforcement, Legal, Medical",,,
Columbia University,2,"New York, New York, United States",,"Education, Higher Education, Medical, Training, Universities",,,
Fulcrum Equity Partners,47,"Atlanta, Georgia, United States",,"Enterprise Software, Health Care, Information Technology, SaaS",,,
Lumira Ventures,62,"Toronto, Ontario, Canada",,"Biopharma, Biotechnology, Health Care, Health Diagnostics, Information Technology, Medical, Medical Device, Pharmaceutical, Therapeutics, Venture Capital",,,
Gilead Sciences,10,"Foster City, California, United States",10/27/2017,"Biopharma, Biotechnology, Health Care, Manufacturing, Pharmaceutical",,,
AbbVie,4,"Chicago, Illinois, United States",12/21/2012,"Biotechnology, Health Care, Medical, Pharmaceutical",,,
Walgreens,5,"Deerfield, Illinois, United States",,"Consumer Goods, Health Care, Medical, Pharmaceutical, Photography",,,
FREES FUND,75,"Beijing, Beijing, China",,"B2B, Consumer Goods, E-Commerce, Education, Energy, FinTech, Medical, Virtual Reality",,,
Agilent Technologies,18,"Santa Clara, California, United States",11/26/1999,"Biotechnology, Hardware, Health Diagnostics",,,
BASF,8,"Ludwigshafen Am Rhein-oggersheim, Rheinland-Pfalz, Germany",7/5/2002,"Agriculture, Biotechnology, Chemical, Energy, Industrial Engineering, Manufacturing, Oil and Gas, Product Research",,,
The Cedars-Sinai Accelerator,50,"Los Angeles, California, United States",,"Finance, Health Care, Information Technology",,,
Connecticut Innovations,199,"Rocky Hill, Connecticut, United States",,"Biotechnology, Energy, Information Technology, Manufacturing, Media and Entertainment",,,
Centers for Disease Control and Prevention,3,"Atlanta, Georgia, United States",,"Government, Health Care, Security",,,
Amgen,7,"Thousand Oaks, California, United States",6/24/1983,"Biotechnology, Health Care, Pharmaceutical",,,
DXC Technology,1,"Arlington, Virginia, United States",3/21/2017,"Health Care, Information Technology, Insurance, Manufacturing",,,
Anthem,4,"Indianapolis, Indiana, United States",11/9/2001,"Health Care, Insurance",,,
Casdin Capital,47,"New York, New York, United States",,"Biotechnology, Financial Services, Life Science",,,
Flagship Pioneering,204,"Cambridge, Massachusetts, United States",,"Biotechnology, Health Care, Medical Device, Pharmaceutical",,,
RebelBio,110,"London, England, United Kingdom",,"Biotechnology, Finance, Life Science, Venture Capital",,,
Octopus Ventures,218,"London, England, United Kingdom",,"Finance, Financial Services, Health Care, Impact Investing",,,
Village Capital,49,"Washington, District of Columbia, United States",,"Agriculture, EdTech, Education, Energy, Finance, Financial Services, FinTech, Health Care",,,
Align Technology,2,"San Jose, California, United States",1/26/2001,"Hardware, Health Care, Software",,,
Illumina,12,"San Diego, California, United States",8/1/2000,"Biotechnology, Genetics, Medical",,,
Astellas Pharma,6,"Tokyo, Tokyo, Japan",1/9/2009,"Biotechnology, Health Care, Medical",,,
SV Health Investors,211,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Medical Device",,,
Cinven,9,"London, England, United Kingdom",,"Financial Services, Health Care, Telecommunications, Venture Capital",,,
Express Scripts,2,"Mt Pleasant, South Carolina, United States",1/19/1992,"Health Care, Information Technology, Internet, Pharmaceutical, Software",,,
Frazier Healthcare Partners,155,"Seattle, Washington, United States",,"Health Care, Venture Capital",,,
The Carlyle Group,217,"Washington, District of Columbia, United States",5/3/2012,"Aerospace, Asset Management, Financial Services, Health Care, Management Consulting",,,
United States Navy,9,"Arlington, Virginia, United States",,"Big Data, Cloud Computing, Cyber Security, Health Diagnostics, Law Enforcement, Legal, Market Research, Medical, National Security, Politics, Public Safety, Search Engine, Software",,,
Johnson & Johnson Innovation,54,"New Brunswick, New Jersey, United States",,Health Care,,,
Merck,6,"Darmstadt, Hessen, Germany",1/11/2002,"Biotechnology, Health Care, Life Science",,,
Monashees,107,"São Paulo, Sao Paulo, Brazil",,"Artificial Intelligence, EdTech, FinTech, Health Care, Logistics, Machine Learning, Mobile, Real Estate, SaaS, Transportation",,,
Genentech,9,"South San Francisco, California, United States",7/20/1999,"Biotechnology, Life Science, Manufacturing",,,
RMI Partners,30,"Moscow, Moscow City, Russian Federation",,"Biotechnology, Life Science, Venture Capital",,,
American Heart Association,3,"Dallas, Texas, United States",,"Association, Fitness, Health Care, mHealth, Personal Health",,,
Rockstart Accelerator,128,"Amsterdam, Noord-Holland, The Netherlands",,"Artificial Intelligence, Automotive, Business Intelligence, Clean Energy, Consulting, Health Care, Infrastructure, Internet, Mobile, Mobile Apps, Web Apps",,,
Boehringer Ingelheim,2,"Ingelheim Am Rhein, Rheinland-Pfalz, Germany",,"Biotechnology, Manufacturing, Medical, Pharmaceutical",,,
United States Air Force,3,"Washington, District of Columbia, United States",,"Manufacturing, Medical, National Security",,,
United States Army,6,"Arlington, Virginia, United States",,"Chemical, Education, Government, GovTech, Law Enforcement, Medical, Military, National Security, Public Safety",,,
Stryker,1,"Kalamazoo, Michigan, United States",1/2/1990,"Biotechnology, Health Care, Life Science, Medical, Medical Device",,,
National Cancer Institute,7,"Bethesda, Maryland, United States",,"Association, Biotechnology, Education, Fitness, Government, Health Care",,,
Merck Global Health Innovation Fund,56,"Whitehouse Station, New Jersey, United States",,"Finance, Health Care, Venture Capital",,,
Willis Towers Watson,1,"London, England, United Kingdom",6/15/2001,"Consulting, Information Technology, Insurance, Medical, Service Industry",,,
Cigna,5,"Bloomfield, Connecticut, United States",4/8/1982,"Health Care, Medical",,,
Aetna,5,"Hartford, Connecticut, United States",1/13/1978,"Dental, Health Care, Medical",,,
Avalon Ventures,163,"La Jolla, California, United States",,"Biotechnology, Health Care, Information Technology, Life Science, Pharmaceutical, Venture Capital",,,
Sands Capital Ventures,61,"Arlington, Virginia, United States",,"Biotechnology, Enterprise Software, Venture Capital",,,
Varian Medical Systems,7,"Palo Alto, California, United States",4/16/1999,"Health Care, Manufacturing, Medical Device",,,
National Health Service,1,"London, England, United Kingdom",,"Fitness, Government, Health Care, Personal Health, Wellness",,,
Redmile Group,74,"San Francisco, California, United States",,"Health Care, Hedge Funds, Venture Capital",,,
Nestlé Health Science,8,"Vevey, Vaud, Switzerland",,Health Care,,,
IQVIA,3,"Danbury, Connecticut, United States",,Health Care,,,
MPM Capital,207,"Cambridge, Massachusetts, United States",,"Biotechnology, Health Care, Life Science",,,
JW Asset Management,14,"New York, New York, United States",,"Asset Management, Financial Services, Health Care, Hedge Funds",,,
Tailwind Capital,34,"New York, New York, United States",,"Finance, Health Care, Venture Capital",,,
Satori Capital,7,"Dallas, Texas, United States",,"Biotechnology, Financial Services, Venture Capital",,,
Kaiser Permanente Ventures,75,"Oakland, California, United States",,Health Care,,,
Optum,1,"Eden Prairie, Minnesota, United States",2/7/2005,"Analytics, B2B, B2C, Consulting, EdTech, Education, Health Care, Hospital, Medical",,,
Intuitive Surgical,2,"Sunnyvale, California, United States",6/23/2000,"Health Care, Medical Device",,,
ENISA,59,"Madrid, Madrid, Spain",,"Angel Investment, Energy, Finance, Health Care, Medical, Venture Capital",,,
Cerner Corporation,2,"Kansas City, Missouri, United States",12/12/1986,"Health Care, Software",,,
SR One,139,"Cambridge, Massachusetts, United States",,"Financial Services, Health Care, Venture Capital",,,
Dreamit Ventures,266,"New York, New York, United States",,"Construction, Cyber Security, Health Diagnostics, Medical, Network Security, Security, Transportation",,,
Allergan,1,"Madison, Wisconsin, United States",10/11/2013,"Biotechnology, Education, Medical, Pharmaceutical, Universities",,,
Morningside Group,154,"Shanghai, Shanghai, China",,"Biotechnology, E-Commerce, Financial Services",,,
Ecolab,2,"Beaver Creek, Minnesota, United States",1/13/1978,"Biotechnology, Energy, Food and Beverage, Information Technology, Renewable Energy",,,
RA Capital Management,114,"Boston, Massachusetts, United States",,"Financial Services, Life Science, Medical",,,
Sony Innovation Fund,33,"Tokyo, Tokyo, Japan",,"Artificial Intelligence, Augmented Reality, Health Care, Internet of Things, Robotics, Virtual Reality",,,
Inveready,109,"Barcelona, Catalonia, Spain",,"Biotechnology, Information Technology, Life Science, Software, Venture Capital",,,
Highlight Capital,35,"Nanjin, Jiangsu, China",,"Finance, Health Care",,,
Lundbeck,3,"Valby, Hovedstaden, Denmark",6/28/2002,"Health Care, Health Diagnostics, Medical",,,
Lilly Asia Ventures,66,"Shanghai, Shanghai, China",,"Biotechnology, Pharmaceutical, Venture Capital",,,
Atlas Venture,496,"Cambridge, Massachusetts, United States",,"Biotechnology, Health Care, Pharmaceutical",,,
Chan Zuckerberg Initiative,29,"Palo Alto, California, United States",,"Education, Health Care, Social Assistance",,,
Qiagen,7,"Venlo, Limburg, The Netherlands",7/5/1996,"Biotechnology, Health Diagnostics",,,
Kurma Partners,56,"Paris, Ile-de-France, France",,"Biotechnology, Health Care, Health Diagnostics, Life Science",,,
Vivo Capital,102,"Palo Alto, California, United States",,"Finance, Health Care, Venture Capital",,,
ALLVP,52,"Mexico City, Distrito Federal, Mexico",,"E-Commerce, Energy, Enterprise Software, FinTech, Health Care, Venture Capital",,,
Amgen Ventures,78,"San Francisco, California, United States",,Biotechnology,,,
Social Leverage,93,"Phoenix, Arizona, United States",,"E-Commerce, Enterprise Software, Financial Services, FinTech, Health Care, Marketplace, Mobile, SaaS, Security, Venture Capital",,,
Monsanto,3,"Saint Louis, Missouri, United States",10/27/2000,"Agriculture, Biotechnology, Farming, Genetics",,,
Alphabet,6,"Mountain View, California, United States",8/19/2004,"Biotechnology, Blogging Platforms, Email, Information Technology, Search Engine, Software, Video Streaming",,,
Intermountain Healthcare,15,"Salt Lake City, Utah, United States",,"Health Care, Medical, Non Profit",,,
Data Collective DCVC,354,"San Francisco, California, United States",,"Artificial Intelligence, Big Data, Cyber Security, Enterprise Software, Health Care, Machine Learning",,,
TELUS Ventures,108,"Vancouver, British Columbia, Canada",,"Artificial Intelligence, FinTech, Health Care, Internet of Things, SaaS, Security, Venture Capital",,,
Seattle Seahawks,1,"Renton, Washington, United States",,"Health Care, iOS, Mobile Apps, Software, Sports",,,
Cresco Capital Partners,7,"Dallas, Texas, United States",,"Agriculture, Biotechnology, Cannabis, E-Commerce",,,
Bio-Rad Laboratories,2,"Hercules, California, United States",3/1/1980,"Biotechnology, Health Diagnostics",,,
Quest Diagnostics,2,"Madison, New Jersey, United States",12/27/1996,"Health Care, Health Diagnostics, Information Services",,,
Walgreens Boots Alliance,1,"Deerfield, Illinois, United States",1/9/2015,"Enterprise Software, Health Care",,,
Reckitt Benckiser Group,1,"Slough, Buckinghamshire, United Kingdom",1/15/1999,"Health Care, Home Health Care, Manufacturing, Medical, Product Design",,,
Life Sciences Partners,108,"Amsterdam, Noord-Holland, The Netherlands",,"Biotechnology, Finance, Health Care",,,
Innovacom,131,"Paris, Ile-de-France, France",,"Energy, Health Care, Information Technology, Mobile, Transportation",,,
Alexion Pharmaceuticals,2,"Cheshire, Connecticut, United States",3/8/1996,"Biotechnology, Health Care, Medical",,,
LaunchCapital,228,"New Haven, Connecticut, United States",,"Consumer, Health Care, Information Technology, Medical Device, Publishing",,,
Bullish,56,"New York, New York, United States",,"Consumer, E-Commerce, Fashion, Financial Services, Health Care, Wellness",,,
Polaris Partners,516,"Boston, Massachusetts, United States",,"Big Data, Biotechnology, Health Care, Marketplace, Medical Device, SaaS, Venture Capital",,,
AltaIR Capital,229,,,"E-Commerce, Education, Health Care, Information Technology, Mobile, Software, Venture Capital",,,
Edwards Lifesciences,6,"Irvine, California, United States",1/26/2018,"Biotechnology, Health Care, Medical, Medical Device",,,
Fika Ventures,24,"Los Angeles, California, United States",,"Financial Services, FinTech, Health Care, Marketplace, Venture Capital",,,
Biogen Idec,19,"Weston, Massachusetts, United States",9/27/1991,"Biotechnology, Health Care, Neuroscience, Therapeutics",,,
Mylan,1,"Canonsburg, Pennsylvania, United States",1/13/1978,"Biotechnology, Health Care, Life Science",,,
Romulus Capital,49,"Cambridge, Massachusetts, United States",,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, SaaS",,,
OS Fund,44,"Park Ridge, Illinois, United States",,"Advanced Materials, Artificial Intelligence, Bioinformatics, Biotechnology, Genetics, Life Science, Robotics",,,
Katapult Accelerator,26,"Oslo, Oslo, Norway",,"Artificial Intelligence, Big Data, Education, Financial Services, Health Care, Internet of Things, Machine Learning, Nutrition, SaaS, Software",,,
Cambia Health Solutions,28,"Portland, Oregon, United States",,"Biotechnology, Financial Services, FinTech, Health Care, Information Technology",,,
